timestamp,gVal,tVal
1.51048358E9,10.086815,397.66666
1.51048358E9,9.976001,358.33334
1.51048358E9,9.754371,287.66666
1.51048358E9,9.351408,259.66666
1.51048358E9,8.83763,244.33334
1.51048358E9,8.041779,241.66666
1.51048358E9,7.356742,242.33334
1.51048358E9,6.258667,248.33334
1.51048358E9,4.717334,476.3333
1.51048358E9,3.3875556,554.3333
1.51048358E9,2.6320002,576.3333
1.51048358E9,2.098074,621.6667
1.51048358E9,2.4607406,445.0
1.51048358E9,6.480297,353.0
1.51048358E9,9.482371,292.33334
1.51048358E9,9.9558525,318.33334
1.51048358E9,9.623409,311.66666
1.51048358E9,9.945779,362.33334
1.51048358E9,9.925631,463.0
1.51048358E9,8.787259,568.3333
1.51048358E9,6.9940753,629.6667
1.51048358E9,7.1351113,512.3333
1.51048358E9,7.014223,519.0
1.51048358E9,7.064593,495.0
1.51048358E9,6.7724447,505.6667
1.51048358E9,6.923556,442.33334
1.51048358E9,6.309037,445.66666
1.51048358E9,6.6213336,443.66666
1.51048358E9,5.311704,579.6667
1.51048358E9,8.545483,277.66666
1.51048358E9,9.492445,421.0
1.51048358E9,11.104298,362.33334
