timestamp,gVal,tVal
1.51029568E9,4.1330376,554.3333
1.51029568E9,3.6091855,559.6667
1.51029568E9,3.7401488,550.3333
1.51029568E9,3.4882963,579.0
1.51029568E9,4.5360007,601.6667
1.51029568E9,5.0800004,590.3333
1.51029568E9,4.8986673,625.6667
1.51029568E9,5.1404448,607.6667
1.51029568E9,5.1001487,602.3333
1.51029568E9,4.5662227,593.3333
1.51029568E9,4.2136297,588.6667
1.51029568E9,4.2841487,591.0
1.51029568E9,4.747556,617.6667
1.51029568E9,4.0322967,526.3333
1.51029568E9,4.4453335,460.33334
1.51029568E9,4.656889,519.0
1.51029568E9,3.9416301,565.0
1.51029568E9,3.9013338,571.0
1.51029568E9,5.271408,485.0
1.51029568E9,6.228445,524.3333
1.51029568E9,5.906075,471.66666
1.51029568E9,4.908741,527.0
1.51029568E9,5.0094814,560.3333
1.51029568E9,5.533334,489.0
1.51029568E9,5.4325924,497.0
1.51029568E9,4.364741,444.33334
1.51029568E9,4.626667,425.0
1.51029568E9,3.921482,453.66666
1.51029568E9,5.221037,504.3333
1.51029568E9,4.6165934,540.3333
1.51029568E9,4.092741,507.0
1.51029568E9,4.8382225,522.3333
