timestamp,gVal,tVal
1.5104951E9,5.754964,272.33334
1.5104951E9,4.9893336,433.66666
1.5104951E9,4.4453335,449.66666
1.5104951E9,4.465482,375.0
1.5104951E9,5.0497785,311.0
1.5104951E9,4.9691854,430.33334
1.5104951E9,4.9691854,391.0
1.5104951E9,4.48563,527.6667
1.5104951E9,4.334519,557.0
1.5104951E9,4.2942224,562.3333
1.5104951E9,5.4325924,585.0
1.5104951E9,5.906075,586.3333
1.5104951E9,5.906075,583.6667
1.5104951E9,5.493037,581.6667
1.5104951E9,5.241186,575.0
1.5104951E9,5.30163,587.6667
1.5104951E9,5.160593,579.6667
1.5104951E9,4.888593,608.3333
1.5104951E9,4.787852,542.3333
1.5104951E9,4.233778,595.0
1.5104951E9,4.3949633,521.6667
1.5104951E9,4.6165934,-26.333332
1.5104951E9,3.7602968,517.6667
1.5104951E9,4.2740746,423.66666
1.5104951E9,4.092741,471.66666
1.5104951E9,4.1330376,455.0
1.5104951E9,4.2136297,414.33334
1.5104951E9,4.3848896,396.33334
1.5104951E9,4.2136297,453.0
1.5104951E9,4.193482,407.0
1.5104951E9,4.596445,405.0
1.5104951E9,5.5031114,326.33334
