timestamp,gVal,tVal
1.51056294E9,4.2942224,455.66666
1.51056294E9,4.233778,463.66666
1.51056294E9,3.6797044,510.3333
1.51056294E9,4.082667,399.66666
1.51056294E9,4.1229634,445.66666
1.51056294E9,3.9315557,414.33334
1.51056294E9,3.6192598,547.6667
1.51056294E9,5.180742,588.3333
1.51056294E9,6.9437046,536.3333
1.51056294E9,6.450075,583.0
1.51056294E9,5.271408,623.6667
1.51056294E9,5.160593,589.6667
1.51056294E9,4.828149,567.0
1.51056294E9,4.9288893,626.3333
1.51056294E9,4.6971855,495.0
1.51056294E9,3.8005931,-29.666666
1.51056294E9,3.2767408,633.0
1.51056294E9,3.3976297,595.6667
1.51056294E9,3.7502224,539.0
1.51056294E9,4.2740746,471.66666
1.51056294E9,4.747556,452.33334
1.51056294E9,4.2539268,449.0
1.51056294E9,5.190815,425.66666
1.51056294E9,5.160593,409.66666
1.51056294E9,4.908741,428.33334
1.51056294E9,4.656889,451.66666
1.51056294E9,4.3042965,445.66666
1.51056294E9,4.2136297,437.66666
1.51056294E9,4.2237043,469.0
1.51056294E9,4.082667,453.0
1.51056294E9,3.89126,479.0
1.51056294E9,4.9591117,247.0
