"gRaw","tRaw","gVal","tVal","type","readTime","sensorTime","estDriftMin","estDriftMax","estTimeStamp","sensorID"
"0","39982","-2.7475557","37.0213","1","1512286824","1167600","0","0","1512259824","M000285DRH"
"0","55726","-2.7475557","38.283382","1","1512286824","1167600","0","0","1512260724","M000285DRH"
"0","55662","-2.7475557","38.40959","1","1512286824","1167600","0","0","1512261624","M000285DRH"
"0","39246","-2.7475557","38.472694","1","1512286824","1167600","0","0","1512262524","M000285DRH"
"14","27130","-2.6065187","21.978886","0","1512286824","1167600","0","0","1512285924","M000285DRH"
"13","26914","-2.6165926","22.404837","0","1512286824","1167600","0","0","1512285984","M000285DRH"
"13","26338","-2.6165926","23.540709","0","1512286824","1167600","0","0","1512286044","M000285DRH"
"14","7994","-2.6065187","35.483143","0","1512286824","1167600","0","0","1512286104","M000285DRH"
"14","40278","-2.6065187","36.43759","0","1512286824","1167600","0","0","1512286164","M000285DRH"
"13","40226","-2.6165926","36.540134","0","1512286824","1167600","0","0","1512286224","M000285DRH"
"14","40254","-2.6065187","36.484917","0","1512286824","1167600","0","0","1512286284","M000285DRH"
"15","40186","-2.5964446","36.619015","0","1512286824","1167600","0","0","1512286344","M000285DRH"
"14","40098","-2.6065187","36.79255","0","1512286824","1167600","0","0","1512286404","M000285DRH"
"14","40146","-2.6065187","36.697895","0","1512286824","1167600","0","0","1512286464","M000285DRH"
"15","40074","-2.5964446","36.839878","0","1512286824","1167600","0","0","1512286524","M000285DRH"
"14","40110","-2.6065187","36.768887","0","1512286824","1167600","0","0","1512286584","M000285DRH"
"15","40054","-2.5964446","36.87932","0","1512286824","1167600","0","0","1512286644","M000285DRH"
"12","40014","-2.6266668","36.9582","0","1512286824","1167600","0","0","1512286704","M000285DRH"
"14","39966","-2.6065187","37.052853","0","1512286824","1167600","0","0","1512286764","M000285DRH"
"12","39970","-2.6266668","37.044968","0","1512286824","1167600","0","0","1512286824","M000285DRH"
"956","25140","6.8832593","25.903166","1","1512286059","749940","0","0","1512256359","M0002C2Z30"
"986","25036","7.1854815","26.108253","1","1512286059","749940","0","0","1512257259","M0002C2Z30"
"1044","25364","7.7697787","25.461437","1","1512286059","749940","0","0","1512258159","M0002C2Z30"
"950","25160","6.822815","25.863726","0","1512286059","749940","0","0","1512285159","M0002C2Z30"
"954","25152","6.8631115","25.879501","0","1512286059","749940","0","0","1512285219","M0002C2Z30"
"953","25148","6.8530374","25.887388","0","1512286059","749940","0","0","1512285279","M0002C2Z30"
"955","25140","6.873186","25.903166","0","1512286059","749940","0","0","1512285339","M0002C2Z30"
"958","25140","6.9034085","25.903166","0","1512286059","749940","0","0","1512285399","M0002C2Z30"
"960","25152","6.923556","25.879501","0","1512286059","749940","0","0","1512285459","M0002C2Z30"
"962","25160","6.9437046","25.863726","0","1512286059","749940","0","0","1512285519","M0002C2Z30"
"959","25168","6.9134817","25.84795","0","1512286059","749940","0","0","1512285579","M0002C2Z30"
"957","25160","6.8933344","25.863726","0","1512286059","749940","0","0","1512285639","M0002C2Z30"
"961","25140","6.93363","25.903166","0","1512286059","749940","0","0","1512285699","M0002C2Z30"
