"gRaw","tRaw","gVal","tVal","type","readTime","sensorTime","estDriftMin","estDriftMax","estTimeStamp","sensorID"
"927","54896","6.5911117","39.920143","0","1514343214","370800","0","0","1514342974","M0002C2ZU4"
"927","54892","6.5911117","39.928032","0","1514343214","370800","0","0","1514343034","M0002C2ZU4"
"930","54892","6.6213336","39.928032","0","1514343214","370800","0","0","1514343094","M0002C2ZU4"
"930","54892","6.6213336","39.928032","0","1514343214","370800","0","0","1514343154","M0002C2ZU4"
"931","54888","6.6314087","39.935917","0","1514343214","370800","0","0","1514343214","M0002C2ZU4"
"710","23588","4.405038","37.041023","1","1514319255","347040","0","0","1514289555","M0002C2ZU4"
"642","23612","3.7200003","36.993694","1","1514319255","347040","0","0","1514290455","M0002C2ZU4"
"606","24180","3.3573334","35.873596","1","1514319255","347040","0","0","1514291355","M0002C2ZU4"
"659","24960","3.89126","26.258125","1","1514319255","347040","0","0","1514292255","M0002C2ZU4"
"757","24028","4.878519","36.17334","1","1514319255","347040","0","0","1514293155","M0002C2ZU4"
"896","40436","6.278815","36.126015","1","1514319255","347040","0","0","1514294055","M0002C2ZU4"
"1233","23492","9.673779","37.230335","1","1514319255","347040","0","0","1514294955","M0002C2ZU4"
"1644","39196","13.814223","38.571293","1","1514319255","347040","0","0","1514295855","M0002C2ZU4"
"1979","22992","17.189037","38.216335","1","1514319255","347040","0","0","1514296755","M0002C2ZU4"
"2157","23560","18.982222","37.096237","1","1514319255","347040","0","0","1514297655","M0002C2ZU4"
"2178","23776","19.193779","36.670284","1","1514319255","347040","0","0","1514298555","M0002C2ZU4"
"2105","7564","18.45837","36.3311","1","1514319255","347040","0","0","1514299455","M0002C2ZU4"
"2013","40652","17.531555","35.70006","1","1514319255","347040","0","0","1514300355","M0002C2ZU4"
"1979","40728","17.189037","35.55019","1","1514319255","347040","0","0","1514301255","M0002C2ZU4"
"1961","24688","17.007704","26.79451","1","1514319255","347040","0","0","1514302155","M0002C2ZU4"
"1900","24304","16.393185","35.62907","1","1514319255","347040","0","0","1514303055","M0002C2ZU4"
"1709","24652","14.469038","26.865501","1","1514319255","347040","0","0","1514303955","M0002C2ZU4"
"1513","25012","12.494519","26.15558","1","1514319255","347040","0","0","1514304855","M0002C2ZU4"
"1439","25300","11.749038","25.587645","1","1514319255","347040","0","0","1514305755","M0002C2ZU4"
"1334","8204","10.691259","26.991709","1","1514319255","347040","0","0","1514306655","M0002C2ZU4"
"1281","24712","10.157334","26.74718","1","1514319255","347040","0","0","1514307555","M0002C2ZU4"
"710","23856","4.405038","36.512527","0","1514319255","347040","0","0","1514318355","M0002C2ZU4"
"707","23604","4.374815","37.009468","0","1514319255","347040","0","0","1514318415","M0002C2ZU4"
"712","23656","4.425185","36.906925","0","1514319255","347040","0","0","1514318475","M0002C2ZU4"
"708","7284","4.3848896","36.883263","0","1514319255","347040","0","0","1514318535","M0002C2ZU4"
"711","23716","4.4151115","36.788605","0","1514319255","347040","0","0","1514318595","M0002C2ZU4"
"709","23712","4.3949633","36.796494","0","1514319255","347040","0","0","1514318655","M0002C2ZU4"
"711","23672","4.4151115","36.875374","0","1514319255","347040","0","0","1514318715","M0002C2ZU4"
